timestamp,severity,alert_type,activity,risk_score,motion_intensity,message,action_required,sample_index
2026-01-06T00:19:16.661882,EMERGENCY,FALL_DETECTED,WALKING_DOWNSTAIRS,75,0.4225439454083023,🚨 EMERGENCY: Fall detected during WALKING_DOWNSTAIRS,Immediate medical assistance required,120
2026-01-06T00:19:17.736167,EMERGENCY,FALL_DETECTED,WALKING_DOWNSTAIRS,75,0.43774463090625,🚨 EMERGENCY: Fall detected during WALKING_DOWNSTAIRS,Immediate medical assistance required,130
2026-01-06T00:19:24.232555,EMERGENCY,FALL_DETECTED,SITTING,100,0.562040121081751,🚨 EMERGENCY: Fall detected during SITTING,Immediate medical assistance required,192
2026-01-06T00:19:32.996763,CRITICAL,HIGH_RISK_MOTION,WALKING_DOWNSTAIRS,75,0.4862383318430233,⚠️ CRITICAL: Dangerous motion spike during WALKING_DOWNSTAIRS,"Monitor closely, prepare for intervention",276
2026-01-06T00:19:34.975517,CRITICAL,HIGH_RISK_MOTION,WALKING_UPSTAIRS,75,0.5037880931212818,⚠️ CRITICAL: Dangerous motion spike during WALKING_UPSTAIRS,"Monitor closely, prepare for intervention",295
2026-01-06T00:20:12.818440,EMERGENCY,FALL_DETECTED,WALKING_DOWNSTAIRS,75,0.4225439454083023,🚨 EMERGENCY: Fall detected during WALKING_DOWNSTAIRS,Immediate medical assistance required,120
2026-01-06T00:20:13.853661,EMERGENCY,FALL_DETECTED,WALKING_DOWNSTAIRS,75,0.43774463090625,🚨 EMERGENCY: Fall detected during WALKING_DOWNSTAIRS,Immediate medical assistance required,130
2026-01-06T00:20:20.302668,EMERGENCY,FALL_DETECTED,SITTING,100,0.562040121081751,🚨 EMERGENCY: Fall detected during SITTING,Immediate medical assistance required,192
2026-01-06T00:20:29.064548,CRITICAL,HIGH_RISK_MOTION,WALKING_DOWNSTAIRS,75,0.4862383318430233,⚠️ CRITICAL: Dangerous motion spike during WALKING_DOWNSTAIRS,"Monitor closely, prepare for intervention",276
2026-01-06T00:20:31.048567,CRITICAL,HIGH_RISK_MOTION,WALKING_UPSTAIRS,75,0.5037880931212818,⚠️ CRITICAL: Dangerous motion spike during WALKING_UPSTAIRS,"Monitor closely, prepare for intervention",295
2026-01-06T00:32:35.699858,EMERGENCY,FALL_DETECTED,WALKING_DOWNSTAIRS,75,0.4225439454083023,🚨 EMERGENCY: Fall detected during WALKING_DOWNSTAIRS,Immediate medical assistance required,120
2026-01-06T00:32:36.765619,EMERGENCY,FALL_DETECTED,WALKING_DOWNSTAIRS,75,0.43774463090625,🚨 EMERGENCY: Fall detected during WALKING_DOWNSTAIRS,Immediate medical assistance required,130
2026-01-06T00:32:43.522409,EMERGENCY,FALL_DETECTED,SITTING,100,0.562040121081751,🚨 EMERGENCY: Fall detected during SITTING,Immediate medical assistance required,192
2026-01-06T00:32:52.435970,CRITICAL,HIGH_RISK_MOTION,WALKING_DOWNSTAIRS,75,0.4862383318430233,⚠️ CRITICAL: Dangerous motion spike during WALKING_DOWNSTAIRS,"Monitor closely, prepare for intervention",276
2026-01-06T00:32:54.456323,CRITICAL,HIGH_RISK_MOTION,WALKING_UPSTAIRS,75,0.5037880931212818,⚠️ CRITICAL: Dangerous motion spike during WALKING_UPSTAIRS,"Monitor closely, prepare for intervention",295
